DatoMaerke,NO2 ppb
2018-01-01,8.225643999999999
2018-01-02,16.441553914893618
2018-01-03,6.5123244375
2018-01-04,
2018-01-05,
2018-01-06,
2018-01-07,
2018-01-08,
2018-01-09,
2018-01-10,
2018-01-11,
2018-01-12,
2018-01-13,
2018-01-14,
2018-01-15,
2018-01-16,
2018-01-17,
2018-01-18,
2018-01-19,
2018-01-20,
2018-01-21,
2018-01-22,
2018-01-23,
2018-01-24,
2018-01-25,
2018-01-26,
2018-01-27,
2018-01-28,
2018-01-29,
2018-01-30,
2018-01-31,
2018-02-01,
2018-02-02,
2018-02-03,
2018-02-04,
2018-02-05,
2018-02-06,
2018-02-07,
2018-02-08,
2018-02-09,
2018-02-10,
2018-02-11,
2018-02-12,
2018-02-13,
2018-02-14,
2018-02-15,
2018-02-16,
2018-02-17,
2018-02-18,
2018-02-19,
2018-02-20,
2018-02-21,
2018-02-22,
2018-02-23,
2018-02-24,
2018-02-25,
2018-02-26,
2018-02-27,10.449603727272727
2018-02-28,11.049697531914893
2018-03-01,13.240346191489362
2018-03-02,19.902595468085106
2018-03-03,12.538115466666666
2018-03-04,12.417983319148936
2018-03-05,23.61498904255319
2018-03-06,34.234047777777775
2018-03-07,30.447628085106384
2018-03-08,29.29174795744681
2018-03-09,13.71891458695652
2018-03-10,15.589567347826087
2018-03-11,13.028543085106383
2018-03-12,27.897569063829785
2018-03-13,12.721553255319149
2018-03-14,6.588242
2018-03-15,3.128517
2018-03-16,5.9473332857142855
2018-03-17,5.838913869565217
2018-03-18,9.516122063829787
2018-03-19,20.703395564102564
2018-03-20,14.271171804347825
2018-03-21,16.759981404255317
2018-03-22,22.605575744680852
2018-03-23,21.965235680851062
2018-03-24,17.78159088888889
2018-03-25,19.32805270212766
2018-03-26,19.64078025531915
2018-03-27,21.011090739130434
2018-03-28,10.860346553191489
2018-03-29,7.304965914893617
2018-03-30,13.93644295744681
2018-03-31,11.266559239130434
2018-04-01,7.762420468085106
2018-04-02,10.334604978723403
2018-04-03,27.92700786956522
2018-04-04,20.92456070212766
2018-04-05,15.731388434782609
2018-04-06,13.06644374468085
2018-04-07,17.973154847826088
2018-04-08,18.638054680851063
2018-04-09,27.876575319148934
2018-04-10,13.566259673913043
2018-04-11,11.225492829787234
2018-04-12,11.002172866666667
2018-04-13,12.761688063829787
2018-04-14,17.003275217391305
2018-04-15,16.670391127659574
2018-04-16,25.561470538461542
2018-04-17,15.33668788888889
2018-04-18,15.258355510638298
2018-04-19,22.920286025000003
2018-04-20,21.53326740425532
2018-04-21,6.3846255106382985
2018-04-22,14.503058326086956
2018-04-23,10.51599629787234
2018-04-24,11.896634826086956
2018-04-25,16.463484829787234
2018-04-26,12.144316152173914
2018-04-27,12.004319723404256
2018-04-28,19.306604361702128
2018-04-29,12.822266086956523
2018-04-30,16.203610516129032
2018-05-01,15.421309063829787
2018-05-02,17.24277406521739
2018-05-03,14.142052659574468
2018-05-04,14.737175234042553
2018-05-05,22.423211
2018-05-06,24.509710382978724
2018-05-07,31.352714042553192
2018-05-08,26.29908742222222
2018-05-09,21.876247170212764
2018-05-10,14.794862936170214
2018-05-11,9.903339808510639
2018-05-12,18.120803021276593
2018-05-13,17.18835119148936
2018-05-14,26.351338765957443
2018-05-15,26.170600999999998
2018-05-16,23.24202485106383
2018-05-17,10.27942029787234
2018-05-18,21.01405029787234
2018-05-19,13.600501787234041
2018-05-20,14.392732510638298
2018-05-21,11.607349638297872
2018-05-22,24.574772
2018-05-23,21.339196531914894
2018-05-24,26.247719489361703
2018-05-25,20.058872978723404
2018-05-26,17.27731065909091
