DatoMaerke,Weekday,Date,Hour,NO2_ppb,NOx_ppb
2020-01-01 00:00:00,Wednesday,2020-01-01,00:00:00,8.287385,9.4060475
2020-01-01 01:00:00,Wednesday,2020-01-01,01:00:00,5.1066755,5.388229
2020-01-01 02:00:00,Wednesday,2020-01-01,02:00:00,4.295781,4.188985
2020-01-01 03:00:00,Wednesday,2020-01-01,03:00:00,2.649493,2.579914
2020-01-01 04:00:00,Wednesday,2020-01-01,04:00:00,4.290077,3.901728
2020-01-01 05:00:00,Wednesday,2020-01-01,05:00:00,1.942294,2.0064795
2020-01-01 06:00:00,Wednesday,2020-01-01,06:00:00,1.4562214999999998,1.4173865
2020-01-01 07:00:00,Wednesday,2020-01-01,07:00:00,0.94334355,0.97948175
2020-01-01 08:00:00,Wednesday,2020-01-01,08:00:00,1.0520259,1.227862
2020-01-01 09:00:00,Wednesday,2020-01-01,09:00:00,0.9271379,0.95680345
2020-01-01 10:00:00,Wednesday,2020-01-01,10:00:00,1.7051975,1.7181425
2020-01-01 11:00:00,Wednesday,2020-01-01,11:00:00,2.088305,1.858531
2020-01-01 12:00:00,Wednesday,2020-01-01,12:00:00,1.9536985,2.0788335
2020-01-01 13:00:00,Wednesday,2020-01-01,13:00:00,2.1213245,2.4676025
2020-01-01 14:00:00,Wednesday,2020-01-01,14:00:00,2.445948,2.8936285
2020-01-01 15:00:00,Wednesday,2020-01-01,15:00:00,3.287298,3.325054
2020-01-01 16:00:00,Wednesday,2020-01-01,16:00:00,3.2504865,3.200864
2020-01-01 17:00:00,Wednesday,2020-01-01,17:00:00,3.1901045,3.226782
2020-01-01 18:00:00,Wednesday,2020-01-01,18:00:00,3.056165,3.0647945
2020-01-01 19:00:00,Wednesday,2020-01-01,19:00:00,3.6276235,3.3072355
2020-01-01 20:00:00,Wednesday,2020-01-01,20:00:00,2.8881155,2.782937
2020-01-01 21:00:00,Wednesday,2020-01-01,21:00:00,3.2936515,3.2149025
2020-01-01 22:00:00,Wednesday,2020-01-01,22:00:00,3.0454515,3.133369
2020-01-01 23:00:00,Wednesday,2020-01-01,23:00:00,2.7321245000000003,2.679266
2020-01-02 00:00:00,Thursday,2020-01-02,00:00:00,2.6950645,2.825054
2020-01-02 01:00:00,Thursday,2020-01-02,01:00:00,2.3649355,2.2948165
2020-01-02 02:00:00,Thursday,2020-01-02,02:00:00,2.441243,2.532397
2020-01-02 03:00:00,Thursday,2020-01-02,03:00:00,2.613877,2.564255
2020-01-02 04:00:00,Thursday,2020-01-02,04:00:00,2.9218265,3.0334775
2020-01-02 05:00:00,Thursday,2020-01-02,05:00:00,3.872405,3.719223
2020-01-02 06:00:00,Thursday,2020-01-02,06:00:00,4.8976505,5.1220300000000005
2020-01-02 07:00:00,Thursday,2020-01-02,07:00:00,7.771253,7.9514035
2020-01-02 08:00:00,Thursday,2020-01-02,08:00:00,8.370646,8.588553000000001
2020-01-02 09:00:00,Thursday,2020-01-02,09:00:00,6.27567,6.546436
2020-01-02 10:00:00,Thursday,2020-01-02,10:00:00,6.34103,7.134989
2020-01-02 11:00:00,Thursday,2020-01-02,11:00:00,6.0391645,6.805076
2020-01-02 12:00:00,Thursday,2020-01-02,12:00:00,6.3089755,7.420085999999999
2020-01-02 13:00:00,Thursday,2020-01-02,13:00:00,8.0973635,9.2559395
2020-01-02 14:00:00,Thursday,2020-01-02,14:00:00,8.544133,9.411447
2020-01-02 15:00:00,Thursday,2020-01-02,15:00:00,8.4363375,8.984881000000001
2020-01-02 16:00:00,Thursday,2020-01-02,16:00:00,8.608983,9.0275375
2020-01-02 17:00:00,Thursday,2020-01-02,17:00:00,7.831299,8.1144705
2020-01-02 18:00:00,Thursday,2020-01-02,18:00:00,7.6427955,7.87149
2020-01-02 19:00:00,Thursday,2020-01-02,19:00:00,6.9618455,7.13067
2020-01-02 20:00:00,Thursday,2020-01-02,20:00:00,7.30805,7.562635
2020-01-02 21:00:00,Thursday,2020-01-02,21:00:00,6.768551,6.9470845
2020-01-02 22:00:00,Thursday,2020-01-02,22:00:00,5.790258,5.5691145
2020-01-02 23:00:00,Thursday,2020-01-02,23:00:00,4.446016,4.4568035
2020-01-03 00:00:00,Friday,2020-01-03,00:00:00,4.775899,4.758639499999999
2020-01-03 01:00:00,Friday,2020-01-03,01:00:00,5.7473455,5.789417
2020-01-03 02:00:00,Friday,2020-01-03,02:00:00,5.262388,5.2332615
2020-01-03 03:00:00,Friday,2020-01-03,03:00:00,5.417936,5.426566
2020-01-03 04:00:00,Friday,2020-01-03,04:00:00,5.3433215,5.2591795
2020-01-03 05:00:00,Friday,2020-01-03,05:00:00,5.688535,5.7715985
2020-01-03 06:00:00,Friday,2020-01-03,06:00:00,6.488361,6.710583
2020-01-03 07:00:00,Friday,2020-01-03,07:00:00,6.7099585,7.1317495
2020-01-03 08:00:00,Friday,2020-01-03,08:00:00,7.120696,7.384989
2020-01-03 09:00:00,Friday,2020-01-03,09:00:00,7.541351000000001,7.832613
2020-01-03 10:00:00,Friday,2020-01-03,10:00:00,6.380995,6.6825055
2020-01-03 11:00:00,Friday,2020-01-03,11:00:00,6.315776,6.724622
2020-01-03 12:00:00,Friday,2020-01-03,12:00:00,6.2085745,6.848812000000001
2020-01-03 13:00:00,Friday,2020-01-03,13:00:00,7.131702499999999,7.588013
2020-01-03 14:00:00,Friday,2020-01-03,14:00:00,5.749115,5.9298055000000005
2020-01-03 15:00:00,Friday,2020-01-03,15:00:00,9.8045885,9.8552935
2020-01-03 16:00:00,Friday,2020-01-03,16:00:00,8.88092,9.1144695
2020-01-03 17:00:00,Friday,2020-01-03,17:00:00,10.943789,10.890930999999998
2020-01-03 18:00:00,Friday,2020-01-03,18:00:00,10.4092,10.32937
2020-01-03 19:00:00,Friday,2020-01-03,19:00:00,6.3001755,6.262419
2020-01-03 20:00:00,Friday,2020-01-03,20:00:00,4.0269455,3.9784015
2020-01-03 21:00:00,Friday,2020-01-03,21:00:00,3.6009475,3.578294
2020-01-03 22:00:00,Friday,2020-01-03,22:00:00,4.750381,4.603671500000001
2020-01-03 23:00:00,Friday,2020-01-03,23:00:00,3.12054,2.7408205
2020-01-04 00:00:00,Saturday,2020-01-04,00:00:00,2.2935945,2.161987
2020-01-04 01:00:00,Saturday,2020-01-04,01:00:00,1.7279225,1.784017
2020-01-04 02:00:00,Saturday,2020-01-04,02:00:00,0.9281706,0.9141467
2020-01-04 03:00:00,Saturday,2020-01-04,03:00:00,1.1390155000000002,1.3671705
