Weekday,Date,Hour,NO2_ppb,NOx_ppb,temp_dry,Humidity,Wind_speed,Pressure,Visibility,Wind_dir
Wednesday,2020-01-01,0,8.287385,9.4060475,1.866666666666667,91.33333333333331,3.516666666666667,1029.25,3350.0,284.0
Wednesday,2020-01-01,1,5.1066755,5.388229,1.4333333333333331,93.33333333333331,3.6,1029.0833333333333,10500.0,252.0
Wednesday,2020-01-01,2,4.295781,4.188985,2.083333333333333,92.16666666666669,3.35,1029.15,18333.33333333333,248.0
Wednesday,2020-01-01,3,2.649493,2.579914,2.283333333333333,92.16666666666669,3.4333333333333336,1028.9666666666667,23833.33333333333,270.0
Wednesday,2020-01-01,4,4.290077,3.901728,2.716666666666667,90.33333333333331,3.516666666666666,1028.7833333333333,30333.33333333333,252.0
Wednesday,2020-01-01,5,1.942294,2.0064795,4.066666666666666,85.0,4.033333333333333,1028.9666666666667,40000.0,271.0
Wednesday,2020-01-01,6,1.4562214999999998,1.4173865,4.983333333333333,80.33333333333333,6.116666666666667,1028.9166666666667,50000.0,284.0
Wednesday,2020-01-01,7,0.94334355,0.97948175,4.916666666666667,80.83333333333333,5.866666666666667,1028.8166666666666,55000.0,277.0
Wednesday,2020-01-01,8,1.0520259,1.227862,5.033333333333333,79.33333333333333,6.116666666666667,1028.7666666666669,54166.66666666666,266.0
Wednesday,2020-01-01,9,0.9271379,0.95680345,5.066666666666666,79.5,6.616666666666667,1028.55,53333.333333333336,273.0
Wednesday,2020-01-01,10,1.7051975,1.7181425,5.316666666666667,79.83333333333333,6.1000000000000005,1028.5,50833.333333333336,270.0
Wednesday,2020-01-01,11,2.088305,1.858531,5.483333333333333,78.83333333333333,7.383333333333334,1027.9833333333331,48333.333333333336,265.0
Wednesday,2020-01-01,12,1.9536985,2.0788335,5.483333333333333,77.16666666666667,6.616666666666667,1027.3833333333334,49166.66666666666,275.0
Wednesday,2020-01-01,13,2.1213245,2.4676025,5.4,78.83333333333333,6.116666666666667,1027.1666666666667,47500.0,265.0
Wednesday,2020-01-01,14,2.445948,2.8936285,5.183333333333334,80.0,4.95,1026.8833333333334,50000.0,275.0
Wednesday,2020-01-01,15,3.287298,3.325054,5.0,81.5,6.116666666666667,1026.9,49166.66666666666,258.0
Wednesday,2020-01-01,16,3.2504865,3.200864,4.7,84.0,6.016666666666667,1026.8333333333333,43333.333333333336,254.0
Wednesday,2020-01-01,17,3.1901045,3.226782,4.3500000000000005,84.66666666666667,5.95,1026.6666666666667,41666.66666666666,249.0
Wednesday,2020-01-01,18,3.056165,3.0647945,3.966666666666667,85.66666666666667,5.583333333333333,1026.7666666666669,38333.333333333336,251.0
Wednesday,2020-01-01,19,3.6276235,3.3072355,3.333333333333333,84.66666666666667,4.6,1027.0833333333333,37500.0,261.0
Wednesday,2020-01-01,20,2.8881155,2.782937,2.783333333333333,84.83333333333333,4.266666666666667,1026.6166666666668,30333.33333333333,261.0
Wednesday,2020-01-01,21,3.2936515,3.2149025,1.7333333333333334,88.83333333333333,4.183333333333333,1026.0166666666669,20666.666666666668,251.0
Wednesday,2020-01-01,22,3.0454515,3.133369,1.5,90.5,3.266666666666667,1025.5333333333333,19166.666666666668,267.0
Wednesday,2020-01-01,23,2.7321245000000003,2.679266,1.5333333333333332,90.5,5.033333333333333,1025.2,17833.333333333332,247.0
Thursday,2020-01-02,0,2.6950645,2.825054,1.3666666666666665,89.83333333333333,5.4,1024.55,19500.0,249.0
Thursday,2020-01-02,1,2.3649355,2.2948165,1.4333333333333331,90.33333333333331,4.35,1024.3333333333333,19666.666666666668,255.0
Thursday,2020-01-02,2,2.441243,2.532397,1.3,89.83333333333333,4.433333333333333,1024.1,18166.666666666668,274.0
Thursday,2020-01-02,3,2.613877,2.564255,1.4166666666666667,91.0,4.516666666666667,1023.4333333333334,15333.333333333334,256.0
Thursday,2020-01-02,4,2.9218265,3.0334775,1.3,91.83333333333331,6.016666666666667,1022.85,13666.666666666666,250.0
Thursday,2020-01-02,5,3.872405,3.719223,1.4,91.66666666666669,5.65,1022.65,12166.666666666666,244.0
Thursday,2020-01-02,6,4.8976505,5.1220300000000005,1.65,91.66666666666669,5.683333333333334,1022.5333333333332,9500.0,249.0
Thursday,2020-01-02,7,7.771253,7.9514035,1.9,91.16666666666669,5.383333333333333,1022.7,7500.0,244.0
Thursday,2020-01-02,8,8.370646,8.588553000000001,2.3833333333333333,92.0,6.616666666666667,1022.5666666666666,6666.666666666667,242.0
Thursday,2020-01-02,9,6.27567,6.546436,2.4,91.83333333333331,7.033333333333334,1022.4833333333332,6666.666666666667,240.0
Thursday,2020-01-02,10,6.34103,7.134989,2.333333333333333,91.66666666666669,7.116666666666667,1022.0,7000.0,239.0
Thursday,2020-01-02,11,6.0391645,6.805076,2.1166666666666667,90.0,7.283333333333334,1021.2,9333.333333333334,248.0
Thursday,2020-01-02,12,6.3089755,7.420085999999999,2.2,89.0,6.283333333333334,1020.5166666666668,9833.333333333334,243.0
Thursday,2020-01-02,13,8.0973635,9.2559395,2.283333333333333,88.33333333333333,5.483333333333333,1019.95,11000.0,245.0
Thursday,2020-01-02,14,8.544133,9.411447,2.0,88.66666666666667,5.583333333333333,1019.4666666666668,11500.0,236.0
Thursday,2020-01-02,15,8.4363375,8.984881000000001,1.9166666666666667,88.16666666666667,5.05,1019.0166666666668,12333.333333333334,238.0
Thursday,2020-01-02,16,8.608983,9.0275375,1.95,87.5,5.583333333333333,1018.75,13500.0,236.0
Thursday,2020-01-02,17,7.831299,8.1144705,2.0500000000000003,88.16666666666667,5.933333333333334,1018.3166666666666,15333.333333333334,243.0
Thursday,2020-01-02,18,7.6427955,7.87149,2.4833333333333334,89.66666666666667,6.283333333333334,1017.9666666666668,21000.0,240.0
Thursday,2020-01-02,19,6.9618455,7.13067,2.4833333333333334,92.33333333333331,7.949999999999999,1017.5166666666668,19833.33333333333,228.0
Thursday,2020-01-02,20,7.30805,7.562635,2.083333333333333,95.83333333333331,8.85,1017.0166666666668,9500.0,232.0
Thursday,2020-01-02,21,6.768551,6.9470845,1.6333333333333335,97.33333333333331,8.483333333333333,1016.1833333333334,5483.333333333333,233.0
Thursday,2020-01-02,22,5.790258,5.5691145,2.033333333333333,96.33333333333331,7.633333333333334,1015.6,13666.666666666666,224.0
Thursday,2020-01-02,23,4.446016,4.4568035,2.983333333333333,93.83333333333331,8.483333333333333,1014.85,22333.33333333333,222.0
Friday,2020-01-03,0,4.775899,4.758639499999999,3.533333333333333,93.16666666666669,9.266666666666667,1013.8666666666668,19333.33333333333,232.0
Friday,2020-01-03,1,5.7473455,5.789417,3.95,93.66666666666669,7.883333333333333,1012.8833333333332,19166.666666666668,237.0
Friday,2020-01-03,2,5.262388,5.2332615,4.3500000000000005,92.66666666666669,7.45,1011.9833333333332,19333.33333333333,216.0
Friday,2020-01-03,3,5.417936,5.426566,4.7,90.83333333333331,7.283333333333334,1011.05,22000.0,210.0
Friday,2020-01-03,4,5.3433215,5.2591795,5.1000000000000005,88.83333333333333,8.316666666666666,1010.3666666666668,27166.666666666668,212.0
Friday,2020-01-03,5,5.688535,5.7715985,5.183333333333334,88.83333333333333,8.5,1009.4,24333.33333333333,214.0
Friday,2020-01-03,6,6.488361,6.710583,4.8500000000000005,93.66666666666669,8.483333333333333,1008.9666666666668,9666.666666666666,214.0
Friday,2020-01-03,7,6.7099585,7.1317495,4.966666666666667,94.83333333333331,8.316666666666666,1008.7166666666668,10333.333333333334,216.0
Friday,2020-01-03,8,7.120696,7.384989,5.133333333333333,96.5,8.583333333333334,1008.2833333333332,4750.0,217.0
Friday,2020-01-03,9,7.541351000000001,7.832613,5.566666666666666,96.5,7.966666666666666,1007.9166666666666,13333.333333333334,219.0
Friday,2020-01-03,10,6.380995,6.6825055,6.066666666666666,96.16666666666669,8.783333333333333,1007.6166666666668,12500.0,233.0
Friday,2020-01-03,11,6.315776,6.724622,6.366666666666667,97.0,8.049999999999999,1007.1,8333.333333333334,239.0
Friday,2020-01-03,12,6.2085745,6.848812000000001,6.683333333333334,97.16666666666669,7.616666666666667,1006.8166666666666,5383.333333333333,246.0
Friday,2020-01-03,13,7.131702499999999,7.588013,6.516666666666667,89.33333333333333,6.183333333333334,1007.4333333333334,30333.33333333333,259.0
Friday,2020-01-03,14,5.749115,5.9298055000000005,6.55,79.83333333333333,4.016666666666667,1007.8333333333334,44166.66666666666,302.0
Friday,2020-01-03,15,9.8045885,9.8552935,6.216666666666666,79.83333333333333,4.016666666666667,1008.2,42500.0,273.0
Friday,2020-01-03,16,8.88092,9.1144695,5.7,80.66666666666667,4.433333333333333,1008.9833333333332,40000.0,271.0
Friday,2020-01-03,17,10.943789,10.890930999999998,5.283333333333333,82.16666666666667,5.6000000000000005,1009.5666666666666,31666.666666666668,271.0
Friday,2020-01-03,18,10.4092,10.32937,4.583333333333333,85.16666666666667,5.033333333333333,1010.0166666666668,30000.0,279.0
