Dato;Tid;Celle 1;Celle 2;Celle 3;Celle 4;Celle 5;Celle 6;Celle 7;Celle 8;Celle 9;Celle 10;Celle 11;Celle 12;Celle 13;Celle 14;Celle 15;Celle 16;Celle 17;Celle 18;Celle 19;Celle 20;Celle 21;Celle 22;Celle 23;Celle 24;Celle 25;Celle 26;Celle 27;Celle 28;Celle 29;Celle 30;Celle 31;Celle 32;Celle 33;Celle 34
2023-01-01;00:00;1,84;6,44;5,52;9,19;8,28;4,60;2,76;2,76;46,89;5,52;3,68;8,28;5,52;3,68;4,60;0,92;2,76;4,60;3,68;2,76;3,68;2,76;2,76;3,68;3,68;3,68;6,44;1,84;2,76;2,76;0,00;3,68;3,68;2,76
2023-01-01;01:00;0,92;6,44;2,76;4,60;3,68;5,52;3,68;3,68;28,50;4,60;1,84;5,52;3,68;2,76;3,68;0,92;1,84;3,68;2,76;2,76;2,76;1,84;2,76;2,76;2,76;5,52;4,60;0,92;1,84;1,84;0,00;1,84;2,76;2,76
2023-01-01;02:00;1,84;6,44;0,92;2,76;2,76;4,60;3,68;2,76;15,63;4,60;0,92;3,68;2,76;1,84;3,68;0,92;1,84;2,76;1,84;1,84;1,84;0,92;1,84;1,84;1,84;4,60;4,60;0,92;1,84;0,92;0,00;1,84;1,84;1,84
2023-01-01;03:00;2,76;4,60;1,84;0,92;1,84;4,60;2,76;3,68;26,66;2,76;0,00;2,76;1,84;1,84;5,52;0,00;0,92;2,76;0,92;1,84;2,76;0,92;1,84;1,84;1,84;4,60;4,60;0,92;1,84;0,00;0,00;2,76;2,76;1,84
2023-01-01;04:00;0,92;6,44;2,76;0,00;0,92;4,60;2,76;2,76;33,10;2,76;0,00;0,92;1,84;1,84;5,52;0,00;0,00;1,84;0,92;1,84;1,84;0,92;0,92;1,84;0,92;2,76;4,60;0,92;0,92;0,00;0,00;1,84;3,68;0,92
2023-01-01;05:00;0,92;3,68;1,84;0,00;1,84;6,44;1,84;1,84;0,00;0,92;0,00;0,00;1,84;0,00;5,52;0,00;0,00;0,92;0,00;1,84;1,84;0,92;0,92;1,84;0,00;0,00;1,84;0,92;1,84;0,00;0,00;1,84;4,60;0,92
2023-01-01;06:00;1,84;2,76;2,76;0,00;0,92;7,36;0,92;0,00;0,00;0,00;0,00;0,00;1,84;0,00;1,84;0,00;0,00;1,84;0,00;0,92;0,92;0,92;0,92;0,92;0,00;0,00;3,68;0,92;1,84;0,00;0,00;1,84;1,84;0,92
2023-01-01;07:00;0,92;5,52;2,76;0,00;1,84;4,60;0,92;0,92;1,84;1,84;0,92;0,00;1,84;0,92;2,76;0,00;0,92;1,84;0,92;1,84;1,84;1,84;0,92;0,92;0,92;0,92;4,60;0,92;1,84;0,00;0,00;0,92;1,84;1,84
2023-01-01;08:00;1,84;7,36;3,68;2,76;5,52;4,60;1,84;1,84;0,92;3,68;2,76;2,76;2,76;1,84;4,60;0,92;1,84;3,68;1,84;2,76;1,84;2,76;2,76;2,76;2,76;1,84;4,60;1,84;1,84;0,92;1,84;1,84;4,60;2,76
2023-01-01;09:00;2,76;8,28;5,52;8,28;8,28;8,28;3,68;3,68;0,00;6,44;5,52;8,28;4,60;5,52;7,36;1,84;4,60;6,44;4,60;3,68;4,60;3,68;3,68;2,76;4,60;4,60;5,52;3,68;2,76;1,84;4,60;2,76;5,52;2,76
2023-01-01;10:00;3,68;10,11;8,28;12,87;11,03;11,95;4,60;5,52;0,00;8,28;8,28;12,87;7,36;8,28;9,19;2,76;7,36;9,19;7,36;5,52;6,44;5,52;4,60;3,68;7,36;5,52;7,36;5,52;5,52;3,68;7,36;3,68;6,44;3,68
2023-01-01;11:00;3,68;12,87;11,95;17,47;13,79;13,79;6,44;7,36;3,68;11,03;11,03;17,47;10,11;10,11;10,11;3,68;10,11;11,95;9,19;6,44;7,36;6,44;6,44;4,60;8,28;7,36;8,28;7,36;7,36;4,60;8,28;4,60;7,36;4,60
2023-01-01;12:00;2,76;12,87;14,71;21,15;16,55;15,63;7,36;7,36;0,00;11,03;12,87;21,15;11,95;11,03;11,03;4,60;11,95;14,71;10,11;6,44;8,28;7,36;7,36;5,52;9,19;6,44;9,19;9,19;8,28;3,68;8,28;5,52;7,36;4,60
2023-01-01;13:00;3,68;14,71;14,71;22,07;17,47;15,63;7,36;7,36;10,11;11,03;13,79;22,99;13,79;11,95;10,11;5,52;12,87;14,71;10,11;6,44;7,36;8,28;8,28;5,52;9,19;5,52;9,19;8,28;9,19;3,68;8,28;4,60;7,36;4,60
