Dato;Tid;Celle 1;Celle 2;Celle 3;Celle 4;Celle 5;Celle 6;Celle 7;Celle 8;Celle 9;Celle 10;Celle 11;Celle 12;Celle 13;Celle 14;Celle 15;Celle 16;Celle 17;Celle 18;Celle 19;Celle 20;Celle 21;Celle 22;Celle 23;Celle 24;Celle 25;Celle 26;Celle 27;Celle 28;Celle 29;Celle 30;Celle 31;Celle 32;Celle 33;Celle 34
01-01-2023;00:00:00;1,87;6,54;5,6;9,34;8,4;4,67;2,8;2,8;47,61;5,6;3,73;8,4;5,6;3,73;4,67;0,93;2,8;4,67;3,73;2,8;3,73;2,8;2,8;3,73;3,73;3,73;6,54;1,87;2,8;2,8;0;3,73;3,73;2,8
01-01-2023;01:00:00;0,93;6,54;2,8;4,67;3,73;5,6;3,73;3,73;28,94;4,67;1,87;5,6;3,73;2,8;3,73;0,93;1,87;3,73;2,8;2,8;2,8;1,87;2,8;2,8;2,8;5,6;4,67;0,93;1,87;1,87;0;1,87;2,8;2,8
01-01-2023;02:00:00;1,87;6,54;0,93;2,8;2,8;4,67;3,73;2,8;15,87;4,67;0,93;3,73;2,8;1,87;3,73;0,93;1,87;2,8;1,87;1,87;1,87;0,93;1,87;1,87;1,87;4,67;4,67;0,93;1,87;0,93;0;1,87;1,87;1,87
01-01-2023;03:00:00;2,8;4,67;1,87;0,93;1,87;4,67;2,8;3,73;27,07;2,8;0;2,8;1,87;1,87;5,6;0;0,93;2,8;0,93;1,87;2,8;0,93;1,87;1,87;1,87;4,67;4,67;0,93;1,87;0;0;2,8;2,8;1,87
01-01-2023;04:00:00;0,93;6,54;2,8;0;0,93;4,67;2,8;2,8;33,61;2,8;0;0,93;1,87;1,87;5,6;0;0;1,87;0,93;1,87;1,87;0,93;0,93;1,87;0,93;2,8;4,67;0,93;0,93;0;0;1,87;3,73;0,93
01-01-2023;05:00:00;0,93;3,73;1,87;0;1,87;6,54;1,87;1,87;0;0,93;0;0;1,87;0;5,6;0;0;0,93;0;1,87;1,87;0,93;0,93;1,87;0;0;1,87;0,93;1,87;0;0;1,87;4,67;0,93
01-01-2023;06:00:00;1,87;2,8;2,8;0;0,93;7,47;0,93;0;0;0;0;0;1,87;0;1,87;0;0;1,87;0;0,93;0,93;0,93;0,93;0,93;0;0;3,73;0,93;1,87;0;0;1,87;1,87;0,93
01-01-2023;07:00:00;0,93;5,6;2,8;0;1,87;4,67;0,93;0,93;1,87;1,87;0,93;0;1,87;0,93;2,8;0;0,93;1,87;0,93;1,87;1,87;1,87;0,93;0,93;0,93;0,93;4,67;0,93;1,87;0;0;0,93;1,87;1,87
01-01-2023;08:00:00;1,87;7,47;3,73;2,8;5,6;4,67;1,87;1,87;0,93;3,73;2,8;2,8;2,8;1,87;4,67;0,93;1,87;3,73;1,87;2,8;1,87;2,8;2,8;2,8;2,8;1,87;4,67;1,87;1,87;0,93;1,87;1,87;4,67;2,8
01-01-2023;09:00:00;2,8;8,4;5,6;8,4;8,4;8,4;3,73;3,73;0;6,54;5,6;8,4;4,67;5,6;7,47;1,87;4,67;6,54;4,67;3,73;4,67;3,73;3,73;2,8;4,67;4,67;5,6;3,73;2,8;1,87;4,67;2,8;5,6;2,8
01-01-2023;10:00:00;3,73;10,27;8,4;13,07;11,2;12,14;4,67;5,6;0;8,4;8,4;13,07;7,47;8,4;9,34;2,8;7,47;9,34;7,47;5,6;6,54;5,6;4,67;3,73;7,47;5,6;7,47;5,6;5,6;3,73;7,47;3,73;6,54;3,73
01-01-2023;11:00:00;3,73;13,07;12,14;17,74;14;14;6,54;7,47;3,73;11,2;11,2;17,74;10,27;10,27;10,27;3,73;10,27;12,14;9,34;6,54;7,47;6,54;6,54;4,67;8,4;7,47;8,4;7,47;7,47;4,67;8,4;4,67;7,47;4,67
01-01-2023;12:00:00;2,8;13,07;14,94;21,47;16,81;15,87;7,47;7,47;0;11,2;13,07;21,47;12,14;11,2;11,2;4,67;12,14;14,94;10,27;6,54;8,4;7,47;7,47;5,6;9,34;6,54;9,34;9,34;8,4;3,73;8,4;5,6;7,47;4,67
01-01-2023;13:00:00;3,73;14,94;14,94;22,41;17,74;15,87;7,47;7,47;10,27;11,2;14;23,34;14;12,14;10,27;5,6;13,07;14,94;10,27;6,54;7,47;8,4;8,4;5,6;9,34;5,6;9,34;8,4;9,34;3,73;8,4;4,67;7,47;4,67
01-01-2023;14:00:00;2,8;13,07;13,07;23,34;18,67;14,94;6,54;7,47;9,34;10,27;13,07;23,34;14;12,14;10,27;3,73;12,14;14,94;10,27;5,6;7,47;9,34;9,34;4,67;8,4;5,6;8,4;7,47;8,4;2,8;7,47;4,67;7,47;3,73
01-01-2023;15:00:00;2,8;12,14;12,14;21,47;18,67;14;6,54;6,54;22,41;9,34;12,14;21,47;13,07;10,27;9,34;3,73;11,2;13,07;8,4;5,6;6,54;8,4;8,4;3,73;7,47;4,67;8,4;7,47;7,47;2,8;6,54;3,73;7,47;3,73
01-01-2023;16:00:00;2,8;12,14;11,2;20,54;18,67;14;6,54;6,54;18,67;9,34;12,14;22,41;13,07;10,27;9,34;3,73;11,2;13,07;8,4;5,6;7,47;9,34;8,4;4,67;7,47;4,67;8,4;6,54;6,54;2,8;6,54;4,67;7,47;3,73
01-01-2023;17:00:00;2,8;10,27;9,34;19,61;17,74;14;5,6;6,54;15,87;6,54;11,2;19,61;12,14;10,27;9,34;3,73;10,27;12,14;7,47;5,6;6,54;9,34;7,47;3,73;7,47;3,73;8,4;5,6;5,6;1,87;5,6;4,67;7,47;3,73
